business_type,affected
Restaurant,42174
Hotel,15718
Catering,3217
Retail clothing store,2696
Retail,2604
Transportation,2041
Airline Sales,1321
Auto Dealership,1176
Gym,1029
Cinemas,1004
Clothing Retail,918
Parking Service/Locations,883
Diagnostic Imaging Center,812
Winter Sports Center,793
Childhood Center,762
School,748
Casino Hotel,700
Resort,669
Country Club,666
Eye Care,648
Online Recommendations,590
General Contractor,585
Transporation Services,550
Cosmetic Manufacturing,539
Car Rental,528
Social Organization,508
Auto Sales,463
Quality cleaning and maintenance services,435
-----,430
Retail Store,429
Theater,425
Clothing Store,395
Building maintenance and cleaning services,349
Suit Retail,346
Distribution,340
Manufacturer,339
"Gem Research, Education, and Laboratory",317
Real Estate Manager and Developer,316
Manufacturing,312
Debt Collection,305
Plastic Manufacturing,300
Catering Staffing,297
Event Venue,287
Award Manufacturer,282
Ophthalmologist,281
Education and Child Care,272
French Restaurant,272
Realty,265
Coffee Shop,262
Healthcare Center,248
Family planning services,240
Promotional Product Supplier,236
Hospitality,230
Sporting Goods,230
Aviation consultant,226
Airport Support,225
Production Company,214
Animal Wellness and Care,207
Cleaning Services,206
Hair Salon,202
Electrical Contracting,200
Venue,198
Collection Agency,198
Lumber and Building Material Distribution,198
Airport Services,196
Non-profit,196
Paper Retailer,193
Integrated Media Entertainment,185
Satellite Supplies,179
Airline,178
Commercial Printing,173
Computer Networking,172
Electronic Instrument Manufacturer,170
Movie Theatre,168
Electric Company,165
Social Club,162
Carpentry Organization,161
Orthopedics,157
Musical Instrument Sales,154
Youth Club,154
Performing Arts Theater,153
Plumbing and Heating,148
Online Fitness,146
Electrical Supply Store,145
Building Services,141
Mattress Store,140
Pool Manufacturer,139
Telemarketing,138
Shoe Store,137
Commercial Cleaning,137
Airline Services,136
Medical Equipment,136
Physcial and Occupational Therapy,133
Auto Shop,129
Solar Energy Equipment,128
Event Planners/Caterers,125
Architectural Metal and Glass Manufacturing,125
Food preparation and delivery services,124
Consulting Group,123
Mechanical Systems Building,119
Miscellaneous Home Furnishings Store,116
Supply Chain Management,116
Law Firm,115
Security Services,115
Transportation Company,114
Community Working Space,113
Retail & Light Manufacturing,112
Day Spa,111
Machine Shop,111
Furniture,111
Jewelry Store,109
Dentist,108
Optometry Offices,108
Real Estate,108
Logistics and Supply Chain Solutions,107
Linen and Uniforms,103
Sheet Metal Contractor,102
Marketing,99
Airline Security,97
Health Care,95
Undergarments,94
Waxing Services,93
Heating and Cooling,92
Toy Store,91
Legal Services,90
Movie Theater,89
Catering/Event Venue,88
Beauty Salon Equipment,87
Moulding Wholesaler,86
Visual Effects and Post Production Services,85
Car dealership,85
Employment Agency,84
Contracting,84
Perfume Manufacturing,83
Medical Imaging,82
Mechanical Contractor,82
Cellular Sales,80
Wellness Center,79
Amusement Machine Supplier,79
Footwear Retailer,79
Car Rentals,78
Health Care Provider - Mammography,78
Travel and Tourism,77
"Designer, Distribution and Licensor of Apparel",77
"Audio, Visual and Lighting",76
Excavating Contractor,75
"Excavation, Pile Drilling, and Foundations",75
Rental Car,74
Meat Wholesaler,73
Education,73
Catering business,73
Renewable Energy Provider,71
Footwear,70
Fitness Club,70
Home automation,70
Transportation Carrier,68
Daycare,65
Global tech media company,64
Wholesale Bakery,64
Fragrance Manufacturing,63
Construction,63
Portfolio Management,62
Emergency Relief,62
Leather Wholesaler,61
Day Camp,61
Optical Retailer,61
Airport Retail,61
Medical Laboratory,60
Countertop Sales,60
Physcial Therapist,59
Healthcare,59
"Plumbing, Heating, PVF, Waterworks, and Fire Protection Supplies",58
Fire Sprinkler Installation,58
Transportation and Logistics,58
Bakery,57
Custom auto interior parts for classic car restoration,57
Medical Facility,56
Auto dealership,55
Waste Services and Material Recycling,55
Cement Plant,54
Airport Restaurant,54
Jewelry Sales,54
Musical Instrument Rental,53
Event Planning,53
Fire Prevention/Sprinkler Services,52
Motor Vehicle Sales,52
Contracting Company,52
Linen and Uniform Supply,52
Travel Agency,52
"Communication, Public Relations",50
Digital Marketing,50
Auto Body Shop,50
Tree service,49
Golf Course,49
Ticket Sales,49
Hotel and Restaurant,48
Ski Resort,47
Linen Supply,46
Façade Manufacturing,46
Duck Farm,46
Courier Service,45
Software Company,44
Iron Manufacturer,43
Automobile Sales,43
Neurology Health Care Provider,43
Network Provider,43
Architecture Firm,42
Watch Manufacturing,42
Limousine Service,41
Environmental Consulting,41
Music Venue,40
Payroll & HR Services,40
Auto Dealer,40
Labor Union,39
Janitorial Services,38
Stone Quarry,37
Denim Retailer,37
Medical Billing,36
American online travel company,36
Insulation Contractor,35
Cleaning and Flooring,35
Convention Center,35
"Bedding, Bath, and window Manufacturing",34
Broth Shop,34
Hunting Club,34
Software,34
Home Furnishing,34
Attorney,34
Security System Installation,32
Media Company,32
Refrigeration Wholesaler,32
Car Dealership,31
Consumer Electronics Company,31
Electricians,31
Attorney's Office,31
Data Analytics Service Provider,30
Social services organization,29
Clothing Manufacturer,28
Public relations,28
Janitorial Engineering,28
Go-kart track,27
Travel Center,27
Home Health Care,25
Event Company,25
Fiberglass Manufacturing,25
Executive Events Company,24
Auction House,22
PR Consulting,22
Air Compressor Manufacturer,20
Collision Repair,19
Industrial Machinery & Equipment,18
Building Materials Supplier,18
Investment Services,18
Financial Institution,18
Outdoor Lounge/Restaurant,17
Carpet Cleaning Service,17
Interior Design,16
"Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies",15
Duck Farming,14
Concrete Supplier,14
Hydraulic Repair Service,13
Theatre Company,12
Custom fabricator of architectural metal,12
Art Storage and Services,9
Production  Company,8
Cosmetic Manufacturer,7
Studio Equipment,6
Asphalt Contractor,5
Animal Feed Store,3
Interior designer,2
Wholesale Distribution,1
Advertising,0
Ophthalmologist/Optician,0
Salon,0
Ambulatory Surgery Center,0
Closets and Storage,0
Clothing Manufacturing,0
Food Distribution,0
Furniture Store,0
Museum,0
Obstetrics and Gynecology,0
Physical and Occupational Therapy,0
